湖南电信,#genre#
凤凰资讯HD,http://118.254.201.185:8888/udp/239.76.246.8:1234
凤凰中文HD,http://118.254.201.185:8888/udp/239.76.246.7:1234
凤凰资讯HD,http://118.254.201.208:8888/udp/239.76.246.8:1234
凤凰中文HD,http://118.254.201.208:8888/udp/239.76.246.7:1234
湖南卫视FHD,http://118.254.201.208:8888/udp/239.76.245.115:1234
湖南经视FHD,http://118.254.201.208:8888/udp/239.76.245.116:1234
湖南都市FHD,http://118.254.201.208:8888/udp/239.76.245.117:1234
湖南电视剧FHD,http://118.254.201.208:8888/udp/239.76.245.118:1234
湖南电影FHD,http://118.254.201.208:8888/udp/239.76.245.119:1234
湖南娱乐FHD,http://118.254.201.208:8888/udp/239.76.245.121:1234
湖南国际FHD,http://118.254.201.208:8888/udp/239.76.245.124:1234
湖南公共FHD,http://118.254.201.208:8888/udp/239.76.245.123:1234
CCTV1HD,http://118.254.201.208:8888/udp/239.76.245.51:1234
CCTV1HD,http://118.254.201.208:8888/udp/239.76.246.151:1234
CCTV2HD,http://118.254.201.208:8888/udp/239.76.246.152:1234
CCTV3HD,http://118.254.201.208:8888/udp/239.76.246.153:1234
CCTV4HD,http://118.254.201.208:8888/udp/239.76.245.195:1234
CCTV4HD,http://118.254.201.208:8888/udp/239.76.246.154:1234
CCTV5HD,http://118.254.201.208:8888/udp/239.76.246.155:1234
CCTV5+hd,http://118.254.201.208:8888/udp/239.76.246.168:1234
CCTV6HD,http://118.254.201.208:8888/udp/239.76.246.156:1234
CCTV7HD,http://118.254.201.208:8888/udp/239.76.246.157:1234
CCTV8HD,http://118.254.201.208:8888/udp/239.76.246.158:1234
CCTV9HD,http://118.254.201.208:8888/udp/239.76.246.159:1234
CCTV10HD,http://118.254.201.208:8888/udp/239.76.246.160:1234
CCTV11HD,http://118.254.201.208:8888/udp/239.76.245.251:1234
CCTV12HD,http://118.254.201.208:8888/udp/239.76.246.162:1234
CCTV13HD,http://118.254.201.208:8888/udp/239.76.246.93:1234
CCTV14HD,http://118.254.201.208:8888/udp/239.76.246.164:1234
CCTV15HD,http://118.254.201.208:8888/udp/239.76.245.252:1234
CCTV16HD,http://118.254.201.208:8888/udp/239.76.246.98:1234
CCTV17HD,http://118.254.201.208:8888/udp/239.76.245.238:1234
CCTV16 4K,http://118.254.201.208:8888/udp/239.76.246.214:1234
CCTV16 4k,http://118.254.201.208:8888/udp/239.76.246.224:1234
CCTV16 4kHDR,http://118.254.201.208:8888/udp/239.76.246.230:1234
CCTV4欧洲HD,http://118.254.201.208:8888/udp/239.76.246.95:1234
CCTV4美洲HD,http://118.254.201.208:8888/udp/239.76.246.96:1234
CGTN英语HD,http://118.254.201.208:8888/udp/239.76.245.67:1234
CGTN记录HD,http://118.254.201.208:8888/udp/239.76.245.66:1234
CGTN俄语,http://118.254.201.208:8888/udp/239.76.246.86:1234
CGTN法语,http://118.254.201.208:8888/udp/239.76.246.87:1234
CGTN西班牙语,http://118.254.201.208:8888/udp/239.76.246.88:1234
体育,http://118.254.201.208:8888/udp/239.76.246.136:1234
金鹰卡通FHD,http://118.254.201.208:8888/udp/239.76.245.120:1234
金鹰纪实FHD,http://118.254.201.208:8888/udp/239.76.245.122:1234
快乐垂钓FHD,http://118.254.201.208:8888/udp/239.76.245.127:1234
湖南教育HD,http://118.254.201.208:8888/udp/239.76.245.233:1234
茶频道HD,http://118.254.201.208:8888/udp/239.76.245.239:1234
广东卫视HD,http://118.254.201.208:8888/udp/239.76.245.189:1234
东南卫视HD,http://118.254.201.208:8888/udp/239.76.245.190:1234
安徽卫视HD,http://118.254.201.208:8888/udp/239.76.245.196:1234
辽宁卫视HD,http://118.254.201.208:8888/udp/239.76.245.197:1234
江西卫视HD,http://118.254.201.208:8888/udp/239.76.245.225:1234
河北卫视HD,http://118.254.201.208:8888/udp/239.76.245.199:1234
贵州卫视HD,http://118.254.201.208:8888/udp/239.76.245.198:1234
江苏卫视HD,http://118.254.201.208:8888/udp/239.76.246.181:1234
东方卫视HD,http://118.254.201.208:8888/udp/239.76.246.186:1234
浙江卫视HD,http://118.254.201.208:8888/udp/239.76.246.182:1234
北京卫视HD,http://118.254.201.208:8888/udp/239.76.246.184:1234
天津卫视HD,http://118.254.201.208:8888/udp/239.76.246.185:1234
深圳卫视HD,http://118.254.201.208:8888/udp/239.76.246.188:1234
湖北卫视HD,http://118.254.201.208:8888/udp/239.76.246.193:1234
山东卫视HD,http://118.254.201.208:8888/udp/239.76.246.195:1234
黑龙江卫视HD,http://118.254.201.208:8888/udp/239.76.246.200:1234
吉林卫视HD,http://118.254.201.208:8888/udp/239.76.246.201:1234
河南卫视HD,http://118.254.201.208:8888/udp/239.76.246.202:1234
海南卫视HD,http://118.254.201.208:8888/udp/239.76.246.203:1234
四川卫视HD,http://118.254.201.208:8888/udp/239.76.246.91:1234
重庆卫视HD,http://118.254.201.208:8888/udp/239.76.246.92:1234
甘肃卫视HD,http://118.254.201.208:8888/udp/239.76.246.94:1234
中国教育1HD,http://118.254.201.208:8888/udp/239.76.245.192:1234
芒果乐搜,http://118.254.201.208:8888/udp/239.76.245.200:1234
芒果乐活,http://118.254.201.208:8888/udp/239.76.245.201:1234
长沙女姓HD,http://118.254.201.208:8888/udp/239.76.245.23:1234
长沙影视HD,http://118.254.201.208:8888/udp/239.76.245.204:1234
湘西综合,http://118.254.201.208:8888/udp/239.76.245.208:1234
湘西综合,http://118.254.201.208:8888/udp/239.76.245.209:1234
河南梨园HD,http://118.254.201.208:8888/udp/239.76.245.179:1234
文物宝库HD,http://118.254.201.208:8888/udp/239.76.245.180:1234
武术世界HD,http://118.254.201.208:8888/udp/239.76.245.181:1234
IPTV高清院线,http://118.254.201.208:8888/udp/239.76.245.217:1234
芒果乐淘,http://118.254.201.208:8888/udp/239.76.245.215:1234
IPTV抗战剧场,http://118.254.201.208:8888/udp/239.76.245.218:1234
IPTV古装剧场,http://118.254.201.208:8888/udp/239.76.245.219:1234
IPTV经典剧场,http://118.254.201.208:8888/udp/239.76.245.221:1234
IPTV家庭剧场,http://118.254.201.208:8888/udp/239.76.245.220:1234
IPTV广场舞,http://118.254.201.208:8888/udp/239.76.245.134:1234
IPTV4k,http://118.254.201.208:8888/udp/239.76.245.35:1234
IPTV电竞,http://118.254.201.208:8888/udp/239.76.245.136:1234
张家界2HD,http://118.254.201.208:8888/udp/239.76.245.235:1234
张家界综合HD,http://118.254.201.208:8888/udp/239.76.245.234:1234
CHC动作电影,http://118.254.201.208:8888/udp/239.76.245.243:1234
CHC高清电影,http://118.254.201.208:8888/udp/239.76.245.242:1234
CHC家庭影院,http://118.254.201.208:8888/udp/239.76.245.241:1234
快乐垂钓HD,http://118.254.201.208:8888/udp/239.76.246.5:1234
IPTV故事频道,http://118.254.201.208:8888/udp/239.76.246.41:1234
IPTV戏曲频道,http://118.254.201.208:8888/udp/239.76.246.40:1234
IPTV健康之路,http://118.254.201.208:8888/udp/239.76.246.42:1234
CGTN阿拉伯语,http://118.254.201.208:8888/udp/239.76.246.97:1234
